iteration,product_id,product_name,persona,total_evaluations,purchases,conversion_rate
3,4,TechWave Elite (Premium),Careful,20,20,100.0
3,4,TechWave Elite (Premium),Skeptical,20,18,90.0
3,5,ClearSound Basic (Low-Med),Impulsive,20,0,0.0
3,5,ClearSound Basic (Low-Med),Careful,20,0,0.0
3,5,ClearSound Basic (Low-Med),Skeptical,20,0,0.0
4,1,SoundMax Pro (High),Impulsive,20,20,100.0
4,1,SoundMax Pro (High),Careful,20,20,100.0
4,1,SoundMax Pro (High),Skeptical,20,20,100.0
4,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
4,2,AudioBlast Wireless (Med-High),Careful,20,20,100.0
4,2,AudioBlast Wireless (Med-High),Skeptical,20,0,0.0
4,3,BudgetBeats (Low),Impulsive,20,0,0.0
4,3,BudgetBeats (Low),Careful,20,3,15.0
4,3,BudgetBeats (Low),Skeptical,20,14,70.0
4,4,TechWave Elite (Premium),Impulsive,20,20,100.0
4,4,TechWave Elite (Premium),Careful,20,20,100.0
4,4,TechWave Elite (Premium),Skeptical,20,20,100.0
4,5,ClearSound Basic (Low-Med),Impulsive,20,20,100.0
4,5,ClearSound Basic (Low-Med),Careful,20,18,90.0
4,5,ClearSound Basic (Low-Med),Skeptical,20,0,0.0
5,1,SoundMax Pro (High),Impulsive,20,20,100.0
5,1,SoundMax Pro (High),Careful,20,20,100.0
5,1,SoundMax Pro (High),Skeptical,20,20,100.0
5,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
5,2,AudioBlast Wireless (Med-High),Careful,20,20,100.0
5,2,AudioBlast Wireless (Med-High),Skeptical,20,18,90.0
5,3,BudgetBeats (Low),Impulsive,20,20,100.0
5,3,BudgetBeats (Low),Careful,20,20,100.0
5,3,BudgetBeats (Low),Skeptical,20,8,40.0
5,4,TechWave Elite (Premium),Impulsive,20,20,100.0
5,4,TechWave Elite (Premium),Careful,20,20,100.0
5,4,TechWave Elite (Premium),Skeptical,20,20,100.0
5,5,ClearSound Basic (Low-Med),Impulsive,20,20,100.0
5,5,ClearSound Basic (Low-Med),Careful,20,17,85.0
5,5,ClearSound Basic (Low-Med),Skeptical,20,11,55.00000000000001
6,1,SoundMax Pro (High),Impulsive,20,20,100.0
6,1,SoundMax Pro (High),Careful,20,20,100.0
6,1,SoundMax Pro (High),Skeptical,20,2,10.0
6,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
6,2,AudioBlast Wireless (Med-High),Careful,20,0,0.0
6,2,AudioBlast Wireless (Med-High),Skeptical,20,14,70.0
6,3,BudgetBeats (Low),Impulsive,20,20,100.0
6,3,BudgetBeats (Low),Careful,20,20,100.0
6,3,BudgetBeats (Low),Skeptical,20,12,60.0
6,4,TechWave Elite (Premium),Impulsive,20,20,100.0
6,4,TechWave Elite (Premium),Careful,20,20,100.0
6,4,TechWave Elite (Premium),Skeptical,20,19,95.0
6,5,ClearSound Basic (Low-Med),Impulsive,20,9,45.0
6,5,ClearSound Basic (Low-Med),Careful,20,20,100.0
6,5,ClearSound Basic (Low-Med),Skeptical,20,4,20.0
7,1,SoundMax Pro (High),Impulsive,20,20,100.0
7,1,SoundMax Pro (High),Careful,20,20,100.0
7,1,SoundMax Pro (High),Skeptical,20,20,100.0
7,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
7,2,AudioBlast Wireless (Med-High),Careful,20,17,85.0
7,2,AudioBlast Wireless (Med-High),Skeptical,20,18,90.0
7,3,BudgetBeats (Low),Impulsive,20,20,100.0
7,3,BudgetBeats (Low),Careful,20,20,100.0
7,3,BudgetBeats (Low),Skeptical,20,1,5.0
7,4,TechWave Elite (Premium),Impulsive,20,20,100.0
7,4,TechWave Elite (Premium),Careful,20,20,100.0
7,4,TechWave Elite (Premium),Skeptical,20,20,100.0
7,5,ClearSound Basic (Low-Med),Impulsive,20,20,100.0
7,5,ClearSound Basic (Low-Med),Careful,20,19,95.0
7,5,ClearSound Basic (Low-Med),Skeptical,20,5,25.0
8,1,SoundMax Pro (High),Impulsive,20,20,100.0
8,1,SoundMax Pro (High),Careful,20,20,100.0
8,1,SoundMax Pro (High),Skeptical,20,11,55.00000000000001
8,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
8,2,AudioBlast Wireless (Med-High),Careful,20,3,15.0
8,2,AudioBlast Wireless (Med-High),Skeptical,20,2,10.0
8,3,BudgetBeats (Low),Impulsive,20,20,100.0
8,3,BudgetBeats (Low),Careful,20,15,75.0
8,3,BudgetBeats (Low),Skeptical,20,3,15.0
8,4,TechWave Elite (Premium),Impulsive,20,20,100.0
8,4,TechWave Elite (Premium),Careful,20,20,100.0
8,4,TechWave Elite (Premium),Skeptical,20,20,100.0
8,5,ClearSound Basic (Low-Med),Impulsive,20,19,95.0
8,5,ClearSound Basic (Low-Med),Careful,20,20,100.0
8,5,ClearSound Basic (Low-Med),Skeptical,20,1,5.0
9,1,SoundMax Pro (High),Impulsive,20,20,100.0
9,1,SoundMax Pro (High),Careful,20,20,100.0
9,1,SoundMax Pro (High),Skeptical,20,20,100.0
9,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
9,2,AudioBlast Wireless (Med-High),Careful,20,20,100.0
9,2,AudioBlast Wireless (Med-High),Skeptical,20,3,15.0
9,3,BudgetBeats (Low),Impulsive,20,20,100.0
9,3,BudgetBeats (Low),Careful,20,20,100.0
9,3,BudgetBeats (Low),Skeptical,20,4,20.0
9,4,TechWave Elite (Premium),Impulsive,20,20,100.0
9,4,TechWave Elite (Premium),Careful,20,20,100.0
9,4,TechWave Elite (Premium),Skeptical,20,19,95.0
9,5,ClearSound Basic (Low-Med),Impulsive,20,20,100.0
9,5,ClearSound Basic (Low-Med),Careful,20,20,100.0
9,5,ClearSound Basic (Low-Med),Skeptical,20,1,5.0
10,1,SoundMax Pro (High),Impulsive,20,20,100.0
10,1,SoundMax Pro (High),Careful,20,20,100.0
10,1,SoundMax Pro (High),Skeptical,20,20,100.0
10,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
10,2,AudioBlast Wireless (Med-High),Careful,20,3,15.0
10,2,AudioBlast Wireless (Med-High),Skeptical,20,18,90.0
10,3,BudgetBeats (Low),Impulsive,20,20,100.0
10,3,BudgetBeats (Low),Careful,20,20,100.0
10,3,BudgetBeats (Low),Skeptical,20,3,15.0
10,4,TechWave Elite (Premium),Impulsive,20,20,100.0
10,4,TechWave Elite (Premium),Careful,20,20,100.0
10,4,TechWave Elite (Premium),Skeptical,20,20,100.0
10,5,ClearSound Basic (Low-Med),Impulsive,20,20,100.0
10,5,ClearSound Basic (Low-Med),Careful,20,20,100.0
10,5,ClearSound Basic (Low-Med),Skeptical,20,11,55.00000000000001
11,1,SoundMax Pro (High),Impulsive,20,20,100.0
11,1,SoundMax Pro (High),Careful,20,20,100.0
11,1,SoundMax Pro (High),Skeptical,20,20,100.0
11,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
11,2,AudioBlast Wireless (Med-High),Careful,20,16,80.0
11,2,AudioBlast Wireless (Med-High),Skeptical,20,0,0.0
11,3,BudgetBeats (Low),Impulsive,20,20,100.0
11,3,BudgetBeats (Low),Careful,20,17,85.0
11,3,BudgetBeats (Low),Skeptical,20,0,0.0
11,4,TechWave Elite (Premium),Impulsive,20,20,100.0
11,4,TechWave Elite (Premium),Careful,20,20,100.0
11,4,TechWave Elite (Premium),Skeptical,20,19,95.0
11,5,ClearSound Basic (Low-Med),Impulsive,20,20,100.0
11,5,ClearSound Basic (Low-Med),Careful,20,20,100.0
11,5,ClearSound Basic (Low-Med),Skeptical,20,19,95.0
12,1,SoundMax Pro (High),Impulsive,20,20,100.0
12,1,SoundMax Pro (High),Careful,20,20,100.0
12,1,SoundMax Pro (High),Skeptical,20,20,100.0
12,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
12,2,AudioBlast Wireless (Med-High),Careful,20,0,0.0
12,2,AudioBlast Wireless (Med-High),Skeptical,20,0,0.0
12,3,BudgetBeats (Low),Impulsive,20,20,100.0
12,3,BudgetBeats (Low),Careful,20,20,100.0
12,3,BudgetBeats (Low),Skeptical,20,20,100.0
12,4,TechWave Elite (Premium),Impulsive,20,20,100.0
12,4,TechWave Elite (Premium),Careful,20,20,100.0
12,4,TechWave Elite (Premium),Skeptical,20,20,100.0
12,5,ClearSound Basic (Low-Med),Impulsive,20,20,100.0
12,5,ClearSound Basic (Low-Med),Careful,20,20,100.0
12,5,ClearSound Basic (Low-Med),Skeptical,20,1,5.0
13,1,SoundMax Pro (High),Impulsive,20,20,100.0
13,1,SoundMax Pro (High),Careful,20,20,100.0
13,1,SoundMax Pro (High),Skeptical,20,20,100.0
13,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
13,2,AudioBlast Wireless (Med-High),Careful,20,0,0.0
13,2,AudioBlast Wireless (Med-High),Skeptical,20,3,15.0
13,3,BudgetBeats (Low),Impulsive,20,20,100.0
13,3,BudgetBeats (Low),Careful,20,20,100.0
13,3,BudgetBeats (Low),Skeptical,20,1,5.0
13,4,TechWave Elite (Premium),Impulsive,20,20,100.0
13,4,TechWave Elite (Premium),Careful,20,20,100.0
13,4,TechWave Elite (Premium),Skeptical,20,20,100.0
13,5,ClearSound Basic (Low-Med),Impulsive,20,20,100.0
13,5,ClearSound Basic (Low-Med),Careful,20,20,100.0
13,5,ClearSound Basic (Low-Med),Skeptical,20,5,25.0
14,1,SoundMax Pro (High),Impulsive,20,20,100.0
14,1,SoundMax Pro (High),Careful,20,20,100.0
14,1,SoundMax Pro (High),Skeptical,20,19,95.0
14,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
14,2,AudioBlast Wireless (Med-High),Careful,20,20,100.0
14,2,AudioBlast Wireless (Med-High),Skeptical,20,4,20.0
14,3,BudgetBeats (Low),Impulsive,20,20,100.0
14,3,BudgetBeats (Low),Careful,20,20,100.0
14,3,BudgetBeats (Low),Skeptical,20,20,100.0
14,4,TechWave Elite (Premium),Impulsive,20,20,100.0
14,4,TechWave Elite (Premium),Careful,20,20,100.0
14,4,TechWave Elite (Premium),Skeptical,20,20,100.0
14,5,ClearSound Basic (Low-Med),Impulsive,20,19,95.0
14,5,ClearSound Basic (Low-Med),Careful,20,20,100.0
14,5,ClearSound Basic (Low-Med),Skeptical,20,5,25.0
15,1,SoundMax Pro (High),Impulsive,20,20,100.0
15,1,SoundMax Pro (High),Careful,20,20,100.0
15,1,SoundMax Pro (High),Skeptical,20,20,100.0
15,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
15,2,AudioBlast Wireless (Med-High),Careful,20,0,0.0
15,2,AudioBlast Wireless (Med-High),Skeptical,20,4,20.0
15,3,BudgetBeats (Low),Impulsive,20,20,100.0
15,3,BudgetBeats (Low),Careful,20,20,100.0
15,3,BudgetBeats (Low),Skeptical,20,19,95.0
15,4,TechWave Elite (Premium),Impulsive,20,20,100.0
15,4,TechWave Elite (Premium),Careful,20,20,100.0
15,4,TechWave Elite (Premium),Skeptical,20,19,95.0
15,5,ClearSound Basic (Low-Med),Impulsive,20,20,100.0
15,5,ClearSound Basic (Low-Med),Careful,20,20,100.0
15,5,ClearSound Basic (Low-Med),Skeptical,20,7,35.0
16,1,SoundMax Pro (High),Impulsive,20,20,100.0
16,1,SoundMax Pro (High),Careful,20,20,100.0
16,1,SoundMax Pro (High),Skeptical,20,20,100.0
16,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
16,2,AudioBlast Wireless (Med-High),Careful,20,0,0.0
16,2,AudioBlast Wireless (Med-High),Skeptical,20,0,0.0
16,3,BudgetBeats (Low),Impulsive,20,20,100.0
16,3,BudgetBeats (Low),Careful,20,20,100.0
16,3,BudgetBeats (Low),Skeptical,20,14,70.0
16,4,TechWave Elite (Premium),Impulsive,20,20,100.0
16,4,TechWave Elite (Premium),Careful,20,20,100.0
16,4,TechWave Elite (Premium),Skeptical,20,20,100.0
16,5,ClearSound Basic (Low-Med),Impulsive,20,19,95.0
16,5,ClearSound Basic (Low-Med),Careful,20,20,100.0
16,5,ClearSound Basic (Low-Med),Skeptical,20,18,90.0
17,1,SoundMax Pro (High),Impulsive,20,20,100.0
17,1,SoundMax Pro (High),Careful,20,20,100.0
17,1,SoundMax Pro (High),Skeptical,20,20,100.0
17,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
17,2,AudioBlast Wireless (Med-High),Careful,20,16,80.0
17,2,AudioBlast Wireless (Med-High),Skeptical,20,10,50.0
17,3,BudgetBeats (Low),Impulsive,20,20,100.0
17,3,BudgetBeats (Low),Careful,20,20,100.0
17,3,BudgetBeats (Low),Skeptical,20,20,100.0
17,4,TechWave Elite (Premium),Impulsive,20,20,100.0
17,4,TechWave Elite (Premium),Careful,20,20,100.0
17,4,TechWave Elite (Premium),Skeptical,20,19,95.0
17,5,ClearSound Basic (Low-Med),Impulsive,20,20,100.0
17,5,ClearSound Basic (Low-Med),Careful,20,20,100.0
17,5,ClearSound Basic (Low-Med),Skeptical,20,6,30.0
18,1,SoundMax Pro (High),Impulsive,20,20,100.0
18,1,SoundMax Pro (High),Careful,20,20,100.0
18,1,SoundMax Pro (High),Skeptical,20,20,100.0
18,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
18,2,AudioBlast Wireless (Med-High),Careful,20,0,0.0
18,2,AudioBlast Wireless (Med-High),Skeptical,20,0,0.0
18,3,BudgetBeats (Low),Impulsive,20,20,100.0
18,3,BudgetBeats (Low),Careful,20,20,100.0
18,3,BudgetBeats (Low),Skeptical,20,8,40.0
18,4,TechWave Elite (Premium),Impulsive,20,20,100.0
18,4,TechWave Elite (Premium),Careful,20,20,100.0
18,4,TechWave Elite (Premium),Skeptical,20,20,100.0
18,5,ClearSound Basic (Low-Med),Impulsive,20,20,100.0
18,5,ClearSound Basic (Low-Med),Careful,20,17,85.0
18,5,ClearSound Basic (Low-Med),Skeptical,20,2,10.0
19,1,SoundMax Pro (High),Impulsive,20,20,100.0
19,1,SoundMax Pro (High),Careful,20,20,100.0
19,1,SoundMax Pro (High),Skeptical,20,20,100.0
19,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
19,2,AudioBlast Wireless (Med-High),Careful,20,20,100.0
19,2,AudioBlast Wireless (Med-High),Skeptical,20,3,15.0
19,3,BudgetBeats (Low),Impulsive,20,3,15.0
19,3,BudgetBeats (Low),Careful,20,20,100.0
19,3,BudgetBeats (Low),Skeptical,20,13,65.0
19,4,TechWave Elite (Premium),Impulsive,20,20,100.0
19,4,TechWave Elite (Premium),Careful,20,20,100.0
19,4,TechWave Elite (Premium),Skeptical,20,20,100.0
19,5,ClearSound Basic (Low-Med),Impulsive,20,20,100.0
19,5,ClearSound Basic (Low-Med),Careful,20,20,100.0
19,5,ClearSound Basic (Low-Med),Skeptical,20,0,0.0
20,1,SoundMax Pro (High),Impulsive,20,20,100.0
20,1,SoundMax Pro (High),Careful,20,20,100.0
20,1,SoundMax Pro (High),Skeptical,20,20,100.0
20,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
20,2,AudioBlast Wireless (Med-High),Careful,20,20,100.0
20,2,AudioBlast Wireless (Med-High),Skeptical,20,7,35.0
20,3,BudgetBeats (Low),Impulsive,20,20,100.0
20,3,BudgetBeats (Low),Careful,20,20,100.0
20,3,BudgetBeats (Low),Skeptical,20,0,0.0
20,4,TechWave Elite (Premium),Impulsive,20,20,100.0
20,4,TechWave Elite (Premium),Careful,20,20,100.0
20,4,TechWave Elite (Premium),Skeptical,20,20,100.0
20,5,ClearSound Basic (Low-Med),Impulsive,20,20,100.0
20,5,ClearSound Basic (Low-Med),Careful,20,20,100.0
20,5,ClearSound Basic (Low-Med),Skeptical,20,19,95.0
